id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Bounce,Mirage Unit,afrobeat,joyful,0.86,126,0.88,0.91,0.12
12,Velvet Thunder,Iron Chapel,metal,aggressive,0.95,168,0.31,0.52,0.04
13,Lantern Harbor,Blue Current,folk,warm,0.33,84,0.72,0.45,0.91
14,Neon Alley Run,City Prism,drum and bass,focused,0.92,174,0.58,0.84,0.06
15,Winter Letters,Quiet Harbor,classical,calm,0.20,66,0.50,0.18,0.97
16,Solar Parade,Luma Kid,electropop,happy,0.88,128,0.86,0.89,0.10
17,Porchlight Dreams,Moss Thread,country,nostalgic,0.46,96,0.63,0.57,0.74
18,Granite Pulse,Frame Collapse,industrial,dark,0.89,142,0.27,0.61,0.08
19,Static Canvas,South Pulse,pop,happy,0.85,106,0.78,0.76,0.27
20,Static Current,Project Room,pop,happy,0.71,109,0.76,0.87,0.20
21,Aurora Skyline,MC Bloom,pop,chill,0.77,135,0.60,0.93,0.25
22,Ocean Skyline,The Room,pop,chill,0.86,118,0.63,0.72,0.31
23,Ocean Mosaic,South Bloom,pop,focused,0.76,141,0.74,0.86,0.30
24,Nova Circuit,House Circuit,pop,focused,0.80,107,0.68,0.78,0.03
25,Midnight Orbit,MC Harbor,pop,intense,0.87,136,0.56,0.80,0.24
26,Static Letters,Studio Echo,pop,intense,0.93,111,0.64,0.99,0.23
27,Solar Signal,Project Room,pop,calm,0.68,107,0.71,0.77,0.08
28,Static Engine,Collective Unit,pop,calm,0.72,138,0.77,0.77,0.09
29,Digital Canvas,The Parade,pop,dark,0.86,127,0.63,0.99,0.05
30,Ocean Mirage,North Circuit,pop,dark,0.80,111,0.74,0.87,0.14
31,Static Skyline,Studio Parade,pop,romantic,0.93,136,0.68,0.91,0.25
32,Prism Harbor,North Parade,pop,romantic,0.77,111,0.68,0.91,0.26
33,Golden Engine,North Echo,pop,nostalgic,0.84,116,0.83,0.87,0.06
34,Atlas Letters,The Bloom,pop,nostalgic,0.77,123,0.64,0.80,0.35
35,Static Memory,MC Room,pop,joyful,0.91,140,0.71,0.84,0.02
36,Static Highway,Collective Pulse,pop,joyful,0.93,111,0.87,0.87,0.35
37,Nova Canvas,Studio Echo,pop,warm,0.94,129,0.84,0.85,0.04
38,Nova Canvas,The Thread,pop,warm,0.84,114,0.76,0.71,0.23
39,Solar Replay,Radio Bloom,rock,happy,0.78,136,0.66,0.53,0.01
40,Sonic Current,Radio Echo,rock,happy,0.95,157,0.49,0.50,0.10
41,Lunar Letters,Project Bloom,rock,chill,0.85,163,0.38,0.59,0.06
42,Midnight Mirage,North Parade,rock,chill,0.82,133,0.41,0.61,0.25
43,Nova Harbor,House Room,rock,focused,0.70,163,0.64,0.76,0.27
44,Cobalt Skyline,Radio Circuit,rock,focused,0.81,159,0.66,0.52,0.01
45,Velvet Highway,Collective Bloom,rock,intense,0.92,162,0.60,0.64,0.20
46,Solar Waves,North Harbor,rock,intense,0.99,148,0.44,0.69,0.01
47,Nova Rhythm,DJ Unit,rock,calm,0.73,162,0.37,0.53,0.15
48,Prism Signal,Collective Bloom,rock,calm,0.75,149,0.56,0.60,0.15
49,Urban Signal,DJ Echo,rock,dark,0.98,139,0.34,0.51,0.17
50,Crystal Memory,Studio Parade,rock,dark,0.93,163,0.60,0.49,0.02
51,Ocean Archive,The Harbor,rock,romantic,0.97,141,0.48,0.72,0.19
52,Lunar Engine,MC Circuit,rock,romantic,0.83,151,0.76,0.51,0.01
53,Prism Waves,Collective Echo,rock,nostalgic,0.76,135,0.46,0.68,0.25
54,Crystal Harbor,Radio Harbor,rock,nostalgic,0.71,143,0.44,0.47,0.22
55,Velvet Engine,The Thread,rock,joyful,0.93,148,0.46,0.75,0.19
56,Silver Mosaic,Project Bloom,rock,joyful,0.90,133,0.47,0.56,0.26
57,Velvet Letters,MC Wanderers,rock,warm,0.92,140,0.62,0.73,0.29
58,Nova Skyline,MC Parade,rock,warm,0.97,128,0.69,0.57,0.28
59,Binary Drift,Project Bloom,lofi,happy,0.35,65,0.65,0.47,0.94
60,Crystal Mosaic,North Pulse,lofi,happy,0.27,70,0.60,0.67,0.96
61,Crystal Harbor,South Circuit,lofi,chill,0.35,94,0.52,0.42,0.93
62,Prism Circuit,House Unit,lofi,chill,0.20,85,0.52,0.65,0.77
63,Echo Mosaic,House Parade,lofi,focused,0.24,65,0.56,0.57,0.90
64,Atlas Archive,Collective Pulse,lofi,focused,0.42,97,0.62,0.61,0.65
65,Cobalt Harbor,South Unit,lofi,intense,0.40,89,0.50,0.47,0.85
66,Solar Orbit,Studio Room,lofi,intense,0.39,83,0.30,0.50,0.76
67,Golden Canvas,Collective Harbor,lofi,calm,0.30,88,0.58,0.65,0.96
68,Atlas Letters,Project Wanderers,lofi,calm,0.35,86,0.43,0.70,0.69
69,Sonic Replay,Project Pulse,lofi,dark,0.33,72,0.47,0.66,0.64
70,Lunar Current,Project Wanderers,lofi,dark,0.44,72,0.54,0.41,0.88
71,Lunar Mirage,MC Room,lofi,romantic,0.45,89,0.65,0.58,0.94
72,Ocean Archive,House Harbor,lofi,romantic,0.42,99,0.69,0.70,0.93
73,Crystal Archive,Radio Bloom,lofi,nostalgic,0.30,69,0.71,0.55,0.88
74,Static Canvas,MC Wanderers,lofi,nostalgic,0.26,66,0.50,0.49,0.73
75,Static Mirage,House Echo,lofi,joyful,0.32,88,0.73,0.43,0.76
76,Solar Rhythm,Radio Echo,lofi,joyful,0.31,79,0.81,0.59,0.86
